9;302;C:\Users\Dalton\Documents\ECE385\NSPool\SPRITES\p1cueROTATES\sp1cue90.png;2718;By SachaDee -2013-
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
0 0 0
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
21 0 136
0 0 0
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
36 28 237
36 28 237
36 28 237
36 28 237
0 0 0
255 0 255
255 0 255
255 0 255
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
255 0 255
255 0 255
255 0 255
255 0 255
255 0 255
0 0 0
193 206 230
193 206 230
0 0 0
